Distance_(pixels),Gray_Value
0,0.0104
1,0.0154
2,0.0284
3,0.0489
4,0.1104
5,0.1872
6,0.2434
7,0.1838
8,0.1063
9,0.0979
10,0.4640
11,1.5637
12,2.2462
13,0.9985
14,0.1431
15,0.0301
16,0.2656
17,8.4864
18,12.1414
19,1.5219
20,0.0339
21,0.0411
22,0.6233
23,1.9214
24,2.0722
25,0.8594
26,0.1719
27,0.1329
28,0.2135
29,0.3332
30,0.3010
31,0.2257
32,0.1232
33,0.0456
34,0.0204
35,0.0093
