Distance_(pixels),Gray_Value
0,0.000000
1,0.057080
2,0.221945
3,0.053755
4,0.000831
5,0.001108
6,0.005542
7,0.049598
8,0.102799
9,0.074813
10,0.018011
11,0.003325
12,0.009144
13,0.006650
14,0.004710
15,0.002217
16,0.000831
17,0.001940
18,0.001385
19,0.001108
20,0.000554
21,0.000277
