Distance_(pixels),Gray_Value
0,0.000006
1,0.000222
2,0.000859
3,0.007701
4,0.057120
5,0.147283
6,0.104891
7,0.034092
8,0.012329
9,0.004794
10,0.001275
11,0.000704
12,0.000075
